word,def1,def2,def3,pos,loo1,loo2,loo3,soundfile
dorsiflexor,a muscle causing dorsiflexion.,,,noun,,,,https://static.sfdict.com/audio/D04/D0474700.mp3
doubloon,"a former gold coin of Spain and Spanish America, originally equal to two escudos but fluctuating in value.",a former Spanish gold coin,,noun,,,,https://static.sfdict.com/audio/D04/D0489900.mp3
dreadlocks,"a hairstyle, especially among Rastafarians, in which the hair is worn in long, ropelike locks.",hair worn in the Rastafarian style of long matted or tightly curled strands,,noun,,,,https://static.sfdict.com/audio/D05/D0523800.mp3
dreikanter,a pebble or boulder having three faces formed by the action of windblown sand.,"a pebble, common in desert areas, typically having three curved faces shaped by wind-blown sand",,"noun,",German,German,,https://static.sfdict.com/audio/D05/D0526300.mp3
dropsonde,an instrument similar to a radiosonde  that is attached to a parachute and released from an aircraft.,meteorol,,noun,,,,https://static.sfdict.com/audio/D05/D0539600.mp3
dubious,doubtful; marked by or occasioning doubt: a dubious reply.,marked by or causing doubt,,adjective,Latin,,,https://static.sfdict.com/audio/D05/D0555000.mp3
dwindle,to become smaller and smaller; shrink; waste away: His vast fortune has dwindled away.,"to grow or cause to grow less in size, intensity, or number; diminish or shrink gradually",,"verb (used without object),",Middle English,,,https://static.sfdict.com/audio/D06/D0601200.mp3
echo,"a repetition of sound produced by the reflection of sound waves from a wall, mountain, or other obstructing surface.","the reflection of sound or other radiation by a reflecting medium, esp a solid object","either of two US passive communications satellites, the first of which was launched in 1960","noun,",Middle English,Latin,Greek,https://static.sfdict.com/audio/E00/E0024600.mp3
Eden,the place where Adam and Eve lived before the Fall. Genesis 2:8–24.,"(Robert) Anthony, Earl of Avon,  1897–1977,",Also called: Garden of Eden Old Testament,noun,Latin,,,https://static.sfdict.com/audio/E00/E0041900.mp3
effleurage,a delicate stroking motion in massage.,a light stroking technique used in massage,,noun,French,French,,https://static.sfdict.com/audio/E00/E0055100.mp3
effraction,"a breaking into a house, store, etc., by force; forcible entry.",,,noun,Latin,French,,https://static.sfdict.com/audio/E00/E0056400.mp3
elaborate,worked out with great care and nicety of detail; executed with great minuteness: elaborate preparations; elaborate care.,planned or executed with care and exactness; detailed,,adjective,Latin,,,https://static.sfdict.com/audio/E00/E0076500.mp3
emanant,emanating  or issuing from or as if from a source.,,,adjective,Latin,French,,https://static.sfdict.com/audio/E01/E0124700.mp3
emblazon,"to depict, as on an escutcheon in heraldry.","to describe, portray, or colour (arms) according to the conventions of heraldry",,verb (used with object),,,,https://static.sfdict.com/audio/E01/E0129700.mp3
embroglio,imbroglio.,,,"noun,",,,,https://static.sfdict.com/audio/E01/E0133900.mp3
encina,"the live oak, Quercus virginiana.","Juan del  [hwahn del],  /?w?n d?l/,  1468?-1529?,",,noun,Latin,,,https://static.sfdict.com/audio/E01/E0161200.mp3
enoki,"a thin, long-stemmed and tiny-capped white mushroom, Flamma velutipes, native to the northern mountain ranges of Japan and prized as a food.",,,noun,,,,https://static.sfdict.com/audio/E01/E0199400.mp3
enumerate,"to mention separately as if in counting; name one by one; specify, as in a list: Let me enumerate the many flaws in your hypothesis.",(tr),,"verb (used with object),",Latin,Latin,,https://static.sfdict.com/audio/E02/E0221300.mp3
epitaph,a commemorative inscription on a tomb or mortuary monument about the person buried at that site.,a commemorative inscription on a tombstone or monument,,noun,Middle English,Latin,Greek,https://static.sfdict.com/audio/E02/E0253900.mp3
erubescent,becoming red or reddish; blushing.,,,adjective,Latin,,,https://static.sfdict.com/audio/E02/E0285800.mp3
estovers,"necessaries allowed by law, as wood and timber to a tenant or alimony to a spouse.",law,,plural noun,Middle English,Latin,French,https://static.sfdict.com/audio/E03/E0313900.mp3
exhibit,to offer or expose to view; present for inspection: to exhibit the latest models of cars.,(also intr),,verb (used with object),Middle English,Latin,,https://static.sfdict.com/audio/E03/E0394900.mp3
exploit,a striking or notable deed; feat; spirited or heroic act: the exploits of Alexander the Great.,"to utilize, especially for profit; turn to practical account: to exploit a business opportunity.","a notable deed or feat, esp one that is noble or heroic",noun,Middle English,Latin,French,https://static.sfdict.com/audio/E04/E0416100.mp3
expugnable,"able to be overcome, conquered, defeated, etc.",,,adjective,Latin,,,https://static.sfdict.com/audio/E04/E0421500.mp3
exsect,to cut out.,(tr),,verb (used with object),Latin,Latin,,https://static.sfdict.com/audio/E04/E0423000.mp3
far-fetched,improbable; not naturally pertinent; being only remotely connected; forced; strained: He brought in a far-fetched example in an effort to prove his point.,improbable in nature; unlikely,,adjective,,,,https://static.sfdict.com/audio/F00/F0040800.mp3
fatuous,"foolish or inane, especially in an unconscious, complacent manner; silly; witless.",complacently or inanely foolish,,adjective,Latin,Latin,,https://static.sfdict.com/audio/F00/F0058800.mp3
feat,"a noteworthy or extraordinary act or achievement, usually displaying boldness, skill, etc.: Arranging the treaty was a diplomatic feat.",apt; skillful; dexterous.,"a remarkable, skilful, or daring action; exploit; achievement",noun,Middle English,Latin,French,https://static.sfdict.com/audio/F00/F0068100.mp3
festoon,"a string or chain of flowers, foliage, ribbon, etc., suspended in a curve between two points.","a decorative chain of flowers, ribbons, etc, suspended in loops; garland",,noun,French,Italian,French,https://static.sfdict.com/audio/F01/F0106900.mp3
fierce,"menacingly wild, savage, or hostile: fierce animals; a fierce look.",having a violent and unrestrained nature; savage,,"adjective,",Middle English,Latin,French,https://static.sfdict.com/audio/F01/F0128200.mp3
filter,"any substance, as cloth, paper, porous porcelain, or a layer of charcoal or sand, through which liquid or gas is passed to remove suspended impurities or to recover solids.","a porous substance, such as paper or sand, that allows fluid to pass but retains suspended solid particles: used to clean fluids or collect solid particles",,noun,Middle English,Latin,German,https://static.sfdict.com/audio/F01/F0143900.mp3
fjeld,"a rocky, barren plateau of the Scandinavian peninsula.",a high rocky plateau with little vegetation in Scandinavian countries,,noun,,,,https://static.sfdict.com/audio/F01/F0183400.mp3
fleet,the largest organized unit of naval ships grouped for tactical or other purposes.,swift; rapid: to be fleet of foot;a fleet horse.,an arm of the sea; inlet.,noun,Middle English,,,https://static.sfdict.com/audio/F02/F0208500.mp3
flimflam,"a trick or deception, especially a swindle or confidence game involving skillful persuasion or clever manipulation of the victim.",nonsense; foolishness,,noun,,,,https://static.sfdict.com/audio/F02/F0216800.mp3
foothill,a low hill  at the base of a mountain or mountain range.,(often plural),,noun,,,,https://static.sfdict.com/audio/F02/F0272200.mp3
forestall,"to prevent, hinder, or thwart by action in advance: to forestall a riot by deploying police.","to delay, stop, or guard against beforehand",,verb (used with object),Middle English,,,https://static.sfdict.com/audio/F02/F0294100.mp3
formalize,"to make formal,  especially for the sake of official or authorized acceptance: to formalize an understanding by drawing up a legal contract.",to be or make formal,,"verb (used with object),",,,,https://static.sfdict.com/audio/F03/F0301900.mp3
foudroyant,striking as with lightning; sudden and overwhelming in effect; stunning; dazzling.,(of a disease) occurring suddenly and with great severity,,adjective,Latin,French,Latin,https://static.sfdict.com/audio/F03/F0320700.mp3
fox,"any of several carnivores of the dog family, especially those of the genus Vulpes, smaller than wolves, having a pointed, slightly upturned muzzle, erect ears, and a long, bushy tail.","Charles James,  1749–1806,","any canine mammal of the genus Vulpes and related genera. They are mostly predators that do not hunt in packs and typically have large pointed ears, a pointed muzzle, and a bushy tail","noun,",Middle English,German,German,https://static.sfdict.com/audio/F03/F0333300.mp3
frabjous,"wonderful, elegant, superb, or delicious.",,,adjective,,,,https://static.sfdict.com/audio/F03/F0335300.mp3
frazil,"ice crystals formed in turbulent water, as in swift streams or rough seas.",small pieces of ice that form in water moving turbulently enough to prevent the formation of a sheet of ice,,noun,French,Latin,French,https://static.sfdict.com/audio/F03/F0353700.mp3
funambulist,a tightrope walker.,a tightrope walker,,noun,Latin,Latin,,https://static.sfdict.com/audio/F04/F0416300.mp3
gabled,provided with a gable  or gables: a gabled house.,,,adjective,,,,https://static.sfdict.com/audio/G00/G0002700.mp3
gadget,a mechanical contrivance or device; any ingenious article.,a small mechanical device or appliance,,noun,French,French,,https://static.sfdict.com/audio/G00/G0005900.mp3
gasthaus,a German inn or tavern.,,,"noun,",German,,,https://static.sfdict.com/audio/G00/G0063900.mp3
Geiger,"Hans  [hahns],  /h?ns/,  1882–1947,","Hans (hans). 1882–1945, German physicist: developed the Geiger counter",,noun,,,,https://static.sfdict.com/audio/G00/G0085800.mp3
genealogy,"a record or account of the ancestry and descent of a person, family, group, etc.",the direct descent of an individual or group from an ancestor,,"noun,",Middle English,Latin,French,https://static.sfdict.com/audio/G00/G0095500.mp3
gerund,"(in certain languages, as Latin) a form regularly derived from a verb and functioning as a noun, having in Latin all case forms but the nominative, as Latin dicendi genitive, dicendo dative, ablative, etc., “saying.”","a noun formed from a verb, denoting an action or state. In English, the gerund, like the present participle, is formed in -ing",,noun,Latin,,,https://static.sfdict.com/audio/G01/G0129400.mp3
ginglymus,a joint in which movement is limited to one plane.,anatomy,,"noun,",Latin,Greek,Latin,https://static.sfdict.com/audio/G01/G0161000.mp3
gladiatorial,of or relating to gladiators  or to their combats.,"of, characteristic of, or relating to gladiators, combat, etc",,adjective,Latin,,,https://static.sfdict.com/audio/G01/G0175000.mp3
Glaswegian,of or characteristic of Glasgow  or its inhabitants.,of or relating to Glasgow or its inhabitants,,adjective,,,,https://static.sfdict.com/audio/G01/G0182300.mp3
glaucoma,Ophthalmology.,"a disease of the eye in which pressure within the eyeball damages the optic disc, impairing vision, sometimes progressing to blindness",,noun,Latin,Greek,Latin,https://static.sfdict.com/audio/G01/G0182900.mp3
grammarian,a specialist or expert in grammar.,a person whose occupation is the study of grammar,,noun,Middle English,French,,https://static.sfdict.com/audio/G02/G0292000.mp3
grating,"a fixed frame of bars or the like covering an opening to exclude persons, animals, coarse material, or objects while admitting light, air, or fine material.",irritating or unpleasant to one's feelings.,Also called: grate,noun,,,,https://static.sfdict.com/audio/G03/G0314500.mp3
grison,"a weasellike carnivore, Galictis vittata, ranging from southern Mexico to Peru, having a grayish-white upper body, a distinctive white stripe across the forehead and ears, and a dark brown face, chest, and legs.","either of two musteline mammals, Grison (or Galictis) cuja or G. vittata, of Central and South America, having a greyish back and black face and underparts",,noun,French,French,,https://static.sfdict.com/audio/G03/G0353300.mp3
Groenendael,former name of Belgian sheepdog.,,,noun,,,,https://static.sfdict.com/audio/G03/G0356000.mp3
grotesque,"odd or unnatural in shape, appearance, or character; fantastically ugly or absurd; bizarre.",strangely or fantastically distorted; bizarre,,adjective,French,Italian,,https://static.sfdict.com/audio/G03/G0362600.mp3
grownup,"a mature, fully grown person; adult.",having reached the age of maturity.,having reached maturity; adult,noun,,,,https://static.sfdict.com/audio/G03/G0370000.mp3
guerilla,guerrilla.,,,"noun, adjective",,,,https://static.sfdict.com/audio/G03/G0386700.mp3
Guinea,"a coastal region in western Africa, extending from the Gambia River to the Gabon estuary.","a British gold coin taken out of circulation in 1813, worth 21 shillings","a republic in West Africa, on the Atlantic: established as the colony of French Guinea in 1890 and became an independent republic in 1958. Official language: French. Religion: Muslim majority and animist. Currency: franc. Capital: Conakry. Pop: 11 176 026 (2013 est). Area: 245 855 sq km (94 925 sq miles)",noun,,,,https://static.sfdict.com/audio/G03/G0394300.mp3
gullible,easily deceived or cheated.,easily taken in or tricked,,adjective,,,,https://static.sfdict.com/audio/G03/G0399000.mp3
gymnastics,(used with a plural verb),(functioning as singular),,noun,,,,https://static.sfdict.com/audio/G04/G0418900.mp3
gyrocopter,autogiro.,,,noun,,,,https://static.sfdict.com/audio/G04/G0427000.mp3
gyttja,"a mud rich in organic matter, found at the bottom or near the shore of certain lakes.",,,noun,,,,https://static.sfdict.com/audio/G04/G0429000.mp3
habiliment,Usually habiliments.,(often plural),,noun,Middle English,Latin,French,https://static.sfdict.com/audio/H00/H0002300.mp3
halogen,"any of the electronegative elements, fluorine, chlorine, iodine, bromine, and astatine, that form binary salts by direct union with metals.","any of the chemical elements fluorine, chlorine, bromine, iodine, and astatine. They are all monovalent and readily form negative ions",,noun,,,,https://static.sfdict.com/audio/H00/H0043700.mp3
handcuff,"a ring-shaped metal device that can be locked around a person's wrist, usually one of a pair connected by a short chain or linked bar; shackle: The police put handcuffs on the suspect.",(tr),,noun,,,,https://static.sfdict.com/audio/H00/H0059800.mp3
hankering,a longing; craving.,,,noun,,,,https://static.sfdict.com/audio/H00/H0071500.mp3
haori,"a loose, knee-length, Japanese garment resembling a coat.",,,"noun,",,,,https://static.sfdict.com/audio/H00/H0075300.mp3
heinous,hateful; odious; abominable; totally reprehensible: a heinous offense.,evil; atrocious,,adjective,Middle English,French,German,https://static.sfdict.com/audio/H01/H0164800.mp3
hermeneutics,"the science of interpretation, especially of the Scriptures.","the science of interpretation, esp of Scripture",,noun,Greek,,,https://static.sfdict.com/audio/H02/H0224700.mp3
hierurgy,a holy act or rite of worship.,,,"noun,",Greek,,,https://static.sfdict.com/audio/H02/H0271400.mp3
hircine,"of, relating to, or resembling a goat.",archaic,,adjective,Latin,Latin,,https://static.sfdict.com/audio/H02/H0298500.mp3
holler,to cry aloud; shout; yell: Quit hollering into the phone.,a hollow.,to shout or yell (something),verb (used without object),,,,https://static.sfdict.com/audio/H03/H0330200.mp3
hooves,a plural of hoof.,a plural of hoof,,noun,,,,https://static.sfdict.com/audio/H03/H0372900.mp3
huapango,"a fast, rhythmic dance of Mexico, performed by couples.",,,"noun,",,,,https://static.sfdict.com/audio/H04/H0418300.mp3
hurried,"moving or working rapidly, especially forced or required to hurry,  as a person.",performed with great or excessive haste,,adjective,,,,https://static.sfdict.com/audio/H04/H0446800.mp3
hydrargyrum,mercury.,an obsolete name for mercury (def. 1),,noun,Latin,Greek,Latin,https://static.sfdict.com/audio/H04/H0459000.mp3
hydroponics,the cultivation of plants by placing the roots in liquid nutrient solutions rather than in soil; soilless growth of plants.,(functioning as singular),,noun,,,,https://static.sfdict.com/audio/H04/H0472100.mp3
idiosyncratic,"pertaining to the nature of idiosyncrasy,  or something peculiar to an individual: The best minds are idiosyncratic and unpredictable as they follow the course of scientific discovery.",of or relating to idiosyncrasy; characteristic of a specific person,,adjective,,,,https://static.sfdict.com/audio/I00/I0023500.mp3
impostor,"a person who practices deception under an assumed character, identity, or name.","a person who deceives others, esp by assuming a false identity; charlatan",,noun,Latin,Latin,,https://static.sfdict.com/audio/I00/I0082500.mp3
incunabula,extant copies of books produced in the earliest stages (before 1501) of printing from movable type.,any book printed before 1501,,"plural noun,",Latin,German,Latin,https://static.sfdict.com/audio/I01/I0119900.mp3
intonaco,"(formerly in fresco painting) the last and finest coat of plaster, usually applied in sections and painted while still damp with colors ground in water or a lime-water mixture.",,,"noun,",Latin,Italian,,https://static.sfdict.com/audio/I02/I0263500.mp3
intransigent,refusing to agree or compromise; uncompromising; inflexible.,not willing to compromise; obstinately maintaining an attitude,,adjective,Latin,Latin,,https://static.sfdict.com/audio/I02/I0267200.mp3
intuit,to know or receive by intuition.,to know or discover by intuition,,verb (used with or without object),,,,https://static.sfdict.com/audio/I02/I0272900.mp3
inveigh,to protest strongly or attack vehemently with words; rail (usually followed byagainst): to inveigh against isolationism.,(intr foll by against),,verb (used without object),Latin,Latin,,https://static.sfdict.com/audio/I02/I0278200.mp3
investigation,the act or process of investigating  or the condition of being investigated.,"the act or process of investigating; a careful search or examination in order to discover facts, etc",,noun,Middle English,Latin,,https://static.sfdict.com/audio/I02/I0281100.mp3
isagoge,"an introduction, especially a scholarly introduction to a field of study or research.",an academic introduction to a specialized subject field or area of research,,noun,Latin,Greek,Latin,https://static.sfdict.com/audio/I03/I0316500.mp3
isotope,"any of two or more forms of a chemical element, having the same number of protons in the nucleus, or the same atomic number, but having different numbers of neutrons in the nucleus, or different atomic weights. There are 275 isotopes of the 81 stable elements, in addition to over 800 radioactive isotopes, and every element has known isotopic forms. Isotopes of a single element possess almost identical properties.",one of two or more atoms with the same atomic number that contain different numbers of neutrons,,noun,Greek,Greek,,https://static.sfdict.com/audio/I03/I0344800.mp3
italicize,to print in italic  type.,to print (textual matter) in italic type,,"verb (used with object),",,,,https://static.sfdict.com/audio/I03/I0350500.mp3
jangle,"to produce a harsh, discordant sound, as two comparatively small, thin, or hollow pieces of metal hitting together: The charms on her bracelet jangle as she moves.","to sound or cause to sound discordantly, harshly, or unpleasantly",,"verb (used without object),",Middle English,French,German,https://static.sfdict.com/audio/J00/J0023100.mp3
jocularity,the state or quality of being jocular.,,,"noun,",,,,https://static.sfdict.com/audio/J00/J0073900.mp3
joist,"any of a number of small, parallel beams of timber, steel, reinforced concrete, etc., for supporting floors, ceilings, or the like.","a beam made of timber, steel, or reinforced concrete, used in the construction of floors, roofs, etc",,noun,Middle English,Latin,French,https://static.sfdict.com/audio/J00/J0082700.mp3
joropo,a Venezuelan ballroom dance in quick triple meter.,,,"noun,",Latin,,,https://static.sfdict.com/audio/J00/J0090300.mp3
kalimba,mbira.,,,noun,,,,https://static.sfdict.com/audio/K00/K0012800.mp3
kente,a colorful fabric of Ghanaian origin: often worn as a symbol of African American pride: Thousands of vivid shirts made a sea of kente along the parade route.I hadn't realized there was so much kente cloth in all of Manhattan.,Also called: kente cloth,,noun,,,,https://static.sfdict.com/audio/K00/K0065800.mp3
Kepler,"Jo·han·nes  [yoh-hah-nis, -han-is]  /yo?'h? n?s, -'hæn ?s/  1571–1630,","Johannes (jo'han?s). 1571–1630, German astronomer. As discoverer of Kepler's laws of planetary motion he is regarded as one of the founders of modern astronomy","a small crater in the NW quadrant of the moon, centre of a large bright ray system",noun,,,,https://static.sfdict.com/audio/K00/K0067900.mp3
Keynesian,"of or relating to the economic theories, doctrines, or policies of Keynes  or his followers, especially the policy of maintaining high employment and controlling inflation by varying the interest rates, tax rates, and public expenditure.",,,adjective,,,,https://static.sfdict.com/audio/K00/K0082800.mp3
kipuka,(in Hawaii) a tract of land surrounded by recent lava flows.,,,noun,,,,https://static.sfdict.com/audio/K01/K0121100.mp3
labefaction,a shaking or weakening; overthrow or downfall.,rare,,noun,Latin,Latin,,https://static.sfdict.com/audio/L00/L0001700.mp3
lambkin,a little lamb.,a small or young lamb,,noun,,,,https://static.sfdict.com/audio/L00/L0044500.mp3
lanolin,"a fatty substance, extracted from wool, used in ointments, cosmetics, waterproof coatings, etc.","a yellowish viscous substance extracted from wool, consisting of a mixture of esters of fatty acids: used in some ointments",,noun,Latin,Latin,German,https://static.sfdict.com/audio/L00/L0070900.mp3
largess,generous bestowal of gifts.,,,noun,Middle English,French,,https://static.sfdict.com/audio/L00/L0086200.mp3
laterigrade,"having a sideways manner of moving, as a crab.",zoology,,adjective,Latin,,,https://static.sfdict.com/audio/L01/L0100900.mp3
levee,an embankment designed to prevent the flooding of a river.,"(in Great Britain) a public court assembly, held in the early afternoon, at which men only are received.","an embankment alongside a river, produced naturally by sedimentation or constructed by man to prevent flooding",noun,Latin,French,Latin,https://static.sfdict.com/audio/L02/L0210600.mp3
limicolous,dwelling in mud or muddy regions.,(of certain animals) living in mud or muddy regions,,adjective,Latin,,,https://static.sfdict.com/audio/L02/L0261700.mp3
Liszt,"Franz  [frahnts],  /fr?nts/,  1811–86,","Franz (frants). 1811–86, Hungarian composer and pianist. The greatest piano virtuoso of the 19th century, he originated the symphonic poem, pioneered the one-movement sonata form, and developed new harmonic combinations. His works include the symphonies Faust (1861) and Dante (1867), piano compositions and transcriptions, songs, and church music",,noun,,,,https://static.sfdict.com/audio/L02/L0297000.mp3
logarithmic,pertaining to a logarithm  or logarithms.,"of, relating to, using, or containing logarithms of a number or variable",,adjective,,,,https://static.sfdict.com/audio/L03/L0341000.mp3
loll,"to recline or lean in a relaxed, lazy, or indolent manner; lounge: to loll on a sofa.",(intr),,verb (used without object),Middle English,,,https://static.sfdict.com/audio/L03/L0348500.mp3
macula,"a spot or blotch, especially on one's skin; macule.","a small spot or area of distinct colour, esp the macula lutea",,"noun,",Middle English,Latin,Latin,https://static.sfdict.com/audio/M00/M0022900.mp3
malleolus,"the bony protuberance on either side of the ankle, at the lower end of the fibula or of the tibia.",either of two rounded bony projections of the tibia and fibula on the sides of each ankle joint,,"noun,",Latin,Latin,,https://static.sfdict.com/audio/M00/M0085900.mp3
mammalian,an animal of the class Mammalia; mammal.,,,noun,Latin,,,https://static.sfdict.com/audio/M00/M0093400.mp3
maringouin,"a mosquito, especially a large swamp mosquito.",,,"noun,",French,,,https://static.sfdict.com/audio/M01/M0156500.mp3
massé,a stroke made by hitting the cue ball with the cue held almost or quite perpendicular to the table.,billiards,,noun,French,French,,https://static.sfdict.com/audio/M01/M0191200.mp3
maxilla,"a jaw or jawbone, especially the upper.",the upper jawbone in vertebrates,,"noun,",Latin,Latin,,https://static.sfdict.com/audio/M02/M0223500.mp3
media,a plural of medium.,Greek Grammar.,"an ancient country in W Asia, S of the Caspian Sea, corresponding generally to NW Iran. Capital: Ecbatana.",noun,Latin,Latin,,https://static.sfdict.com/audio/M02/M0252900.mp3
mediaeval,medieval.,a variant spelling of medieval,,adjective,,,,https://static.sfdict.com/audio/M02/M0253500.mp3
megacephalic,macrocephalic.,,,adjective,,,,https://static.sfdict.com/audio/M02/M0263700.mp3
megalomaniac,a person who has megalomania.,,,noun,,,,https://static.sfdict.com/audio/M02/M0266800.mp3
melismatic,Music.,,,adjective,,,,https://static.sfdict.com/audio/M02/M0283800.mp3
minacious,menacing; threatening.,threatening,,adjective,Latin,Latin,,https://static.sfdict.com/audio/M04/M0449500.mp3
ministration,"the act of ministering  care, aid, religious service, etc.",the act or an instance of serving or giving aid,,noun,Middle English,Latin,Latin,https://static.sfdict.com/audio/M04/M0462400.mp3
minuscule,very small.,a lower-case letter,,adjective,Latin,Latin,,https://static.sfdict.com/audio/M04/M0468700.mp3
mitochondria,the plural of mitochondrion.,,,noun,,,,https://static.sfdict.com/audio/M05/M0506700.mp3
month,Also called calendar month.,one of the twelve divisions (calendar months) of the calendar year,,noun,Middle English,German,German,https://static.sfdict.com/audio/M05/M0592200.mp3
mower,lawn mower.,,,noun,Middle English,,,https://static.sfdict.com/audio/M06/M0650100.mp3
murmuration,an act or instance of murmuring.,,,noun,Middle English,Latin,French,https://static.sfdict.com/audio/M06/M0695600.mp3
mustelid,"any of numerous carnivorous mammals of the family Mustelidae, comprising the weasels, martens, skunks, badgers, and otters.",,,noun,Latin,,,https://static.sfdict.com/audio/M07/M0709100.mp3
natty,neatly or trimly smart in dress or appearance; spruce: a natty white uniform.,informal,,"adjective,",French,,,https://static.sfdict.com/audio/N00/N0040100.mp3
nephrolith,a renal calculus; kidney stone.,,,noun,,,,https://static.sfdict.com/audio/N00/N0086600.mp3
niçoise,"in the style of Nice, France.",,,adjective,Latin,French,,https://static.sfdict.com/audio/N01/N0131400.mp3
nival,of or growing in snow: nival flora.,of or growing in or under snow,,adjective,Latin,Latin,,https://static.sfdict.com/audio/N01/N0165700.mp3
nobiliary,of or relating to the nobility.,of or relating to the nobility,,adjective,French,French,,https://static.sfdict.com/audio/N01/N0170000.mp3
notturno,"an 18th-century composition for chamber orchestra, similar to a serenade or a divertimento.",,,"noun,",Latin,Italian,,https://static.sfdict.com/audio/N02/N0237100.mp3
nubilous,cloudy or foggy.,,,adjective,Latin,,,https://static.sfdict.com/audio/N02/N0250000.mp3
nymph,"one of a numerous class of lesser deities of mythology, conceived of as beautiful maidens inhabiting the sea, rivers, woods, trees, mountains, meadows, etc., and frequently mentioned as attending a superior deity.",myth,,noun,Middle English,Latin,Greek,https://static.sfdict.com/audio/N02/N0275200.mp3
arborio,a variety of cultivated short-grain rice with a high starch content: used especially for risotto.,,,noun,,,,https://static.sfdict.com/audio/NEW/NEW10170.mp3
kleptocrat,a government official who is a thief or exploiter.,,,noun,,,,https://static.sfdict.com/audio/NEW/NEW12510.mp3
qualm,an uneasy feeling or pang of conscience as to conduct; compunction: He has no qualms about lying.,a sudden feeling of sickness or nausea,,noun,German,,,https://static.sfdict.com/audio/NEW/NEW13890.mp3
perpetrator,"a person who perpetrates,  or commits, an illegal, criminal, or evil act: The perpetrators of this heinous crime must be found and punished to the fullest extent of the law.",,,noun,,,,https://static.sfdict.com/audio/NEW2014/4417503.mp3
abated,"lessened or diminished; reduced: Heavily censored and suffering from labor shortages, Japanese filmmaking continued at an abated pace until after World War II.",,,adjective,,,,https://static.sfdict.com/audio/NEW2016/abated_010.mp3
admirer,"a person who regards someone or something with wonder, pleasure, or approval: His admirers say he has all the qualities of a good presenter—he's unflappable, charming, and witty.A popular plot in classic films is the story of a famous actress or dancer who receives a dozen roses after her performance with a card signed, “A secret admirer.”",,,noun,,,,https://static.sfdict.com/audio/NEW2016/admirer_010.mp3
affectionately,"in a way that shows or is characterized by affection or love: Georgia’s favorite pet is a Russian tortoise, whom she has affectionately named Speedbump.",,,adverb,,,,https://static.sfdict.com/audio/NEW2016/affectionately_010.mp3
affogato,an Italian dessert of vanilla gelato with hot espresso poured over the top.,,,noun,Latin,Italian,,https://static.sfdict.com/audio/NEW2016/affogato_010.mp3
bardolatry,great or excessive adoration of or reverence for William Shakespeare: I crossed the line into bardolatry halfway through my thesis on the psyche of Lady Macbeth.,facetious,,noun,,,,https://static.sfdict.com/audio/NEW2016/bardolatry_010.mp3
beccafico,"a small songbird, especially the European garden warbler, Silvia hortensis, eaten as a delicacy in France and the Mediterranean region.","any of various European songbirds, esp warblers of the genus  Sylvia, eaten as a delicacy in Italy and other countries",,noun,Latin,Italian,Latin,https://static.sfdict.com/audio/NEW2016/beccafico_000.mp3
blustery,"characterized by strong, gusty wind:It's a blustery day, with a stiff westerly whipping across the valley keeping the temperature on the cool side.",,,adjective,,,,https://static.sfdict.com/audio/NEW2016/blustery_010.mp3
breviloquent,"speaking or expressed in a concise or terse style; using brevity of speech: In the memorial to her family, references to her brother were tellingly breviloquent.",,,adjective,Latin,,,https://static.sfdict.com/audio/NEW2016/breviloquent_000.mp3
calories,the plural of calorie.,,,noun,,,,https://static.sfdict.com/audio/NEW2016/calories_010.mp3
cognisant,a frequent misspelling of cognizant.,,,adjective,,,,https://static.sfdict.com/audio/NEW2016/cognisant_000.mp3
exoneration,"the act of clearing someone of blame or of an accusation or criminal charge:I would like to highlight the importance of not only the release, but also the exoneration of political prisoners.",,,noun,,,,https://static.sfdict.com/audio/NEW2016/exoneration_020.mp3
feasibility,"the possibility, capability, or likelihood of something being done or accomplished (often used attributively):Conservationists are studying the feasibility of restoring steelhead trout to the creek.A wireless feasibility study last year yielded discouraging results, so the city will not be proceeding with a citywide Wi-Fi network.",,,noun,,,,https://static.sfdict.com/audio/NEW2016/feasibility_020.mp3
fervently,"with great intensity of spirit, feeling, enthusiasm, etc.; vehemently: I can't know without being in that situation, and I fervently hope I never am. The students are fervently campaigning for reform.",,,adverb,,,,https://static.sfdict.com/audio/NEW2016/fervently_010.mp3
Franca,"a city in Sao Paulo state, SE Brazil.",,,noun,,,,https://static.sfdict.com/audio/NEW2016/franca_000.mp3
huipil,"a richly embroidered cotton blouse worn by women in Mexico and Central America, often very wide and low-cut.",,,noun,,,,https://static.sfdict.com/audio/NEW2016/huipil_000.mp3
innovator,a person or group that introduces something new or does something for the first time: He is a true pioneer and innovator who always pushes the boundaries and follows his visions.,,,noun,,,,https://static.sfdict.com/audio/NEW2016/innovator_010.mp3
lefse,"a round Norwegian flatbread resembling a tortilla, made with mashed potatoes and flour.",,,noun,German,,,https://static.sfdict.com/audio/NEW2016/lefse_000.mp3
mitigating,"lessening the force, intensity, or severity of something, as punishment, danger, pain, anger, etc. (sometimes used in combination):The defense made only brief mention of his intellectual disability and the beatings he suffered—mitigating circumstances that could have changed the trial’s outcome.As a responsible bank, we take various risk-mitigating measures to protect the interests of our customers.",,,adjective,,,,https://static.sfdict.com/audio/NEW2016/mitigating_010.mp3
opalescence,a lustrous play of colors like that of an opal: This moonstone pendant has a lovely pearly opalescence.,,,noun,,,,https://static.sfdict.com/audio/NEW2016/opalescence_010.mp3
